StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q10,Q104,Q7,Q7_4_TEXT,Q103_1_x,Q103_1_y,Q103,Q58_1,Q58_2,Q13,Q13_6_TEXT,Q19,Q17,Q18,Q18_22_TEXT,Q105,Q22,Q29,Q30,Q24,Q28,Q33,Q34,Q79,Q80,Q36,Q36_22_TEXT,Q38,Q38_4_TEXT,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q72,Q73,Q74,Q75,Q70,Q76,Q77,Q78,Q79,Q71,Q80,Q81,Q82,Q83,Q57,Q78_1,Q78_2,Q100_1,Q100_2,Q100_3,Q59,Q107_9,Q107_1,Q107_2,Q107_3,Q107_4,Q107_5,Q107_7,Q107_8,Q107_8_TEXT,Q103,Q106,Q107,Q110,Q32_1,Q32_2,Q32_3,Q32_4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Protocol Title: Animal-Assisted Interventions as an Adjunct to ABA Services with Children and Youth with Autism Spectrum Disorders
			
		
		
			
			Principal Investigator/Doctoral Student: Jessica Ghai, M.Ed., BCBA LABA
			
		
		
			
			Description of Subject Population: Behavior analysis professionals, that is: Registered Behavior Technicians™ (RBT®)  Board Certified Assistant Behavior Analysts® (BCaBA®)  Board Certified Behavior Analysts® (BCBA®)  and Board Certified Behavior Analysts-Doctoral™ (BCBA-D™)  recognized by The Behavior Analyst Certification Board®, Inc. (BACB®) working within the United States and Puerto Rico
			
		
		
			
			Version Date: July 1, 2019
			
		
	


 

This is a consent form for research participation. It contains important information about this study and what to expect if you decide to participate. 



Your participation is voluntary. 

You are invited to participate in this unfunded dissertation research study as you are a Registered Behavior Technician™ (RBT®), Board Certified Assistant Behavior Analyst® (BCaBA®), Board Certified Behavior Analyst® (BCBA®), or Board Certified Behavior Analyst-Doctoral™ (BCBA-D™) via The Behavior Analyst Certification Board®, Inc. (BACB®) working within the United States and Puerto Rico. Please consider the following information carefully. Feel free to ask questions before making your decision whether or not to participate.



 

Purpose:

The purpose of this study is to investigate the practices, knowledge, and attitudes of ABA clinicians regarding the use of animals as an adjunct to ABA services. In addition to inquiring about the frequency of use and logistical aspects of animal use, this survey will also examine clinicians’ understandings of the research and ethical considerations, as well as the desirability and perceived feasibility of animal-assisted interventions as an adjunct to ABA services.  



 

Procedures:

You will be asked to complete one web-based survey that will collect non-specific demographic information, if/how you incorporate animals into ABA services, your knowledge and awareness of animal-assisted interventions, attitudinal measures regarding animals, and your thoughts about intervention desirability and feasibility.



 

Duration:

Survey duration is dependent on the amount of experience you have with the intervention of focus. For the majority of participants, participation should be approximately 10-15 minutes, but for those that have more information to share, survey duration could be 15-20 minutes. You may leave the study at any time. If you decide to stop participating in the study, there will be no penalty to you, and you will not lose any benefits to which you are otherwise entitled. Your decision will not affect your future relationship with Boston University.



 

Risks and Benefits:

There are minimal risks associated with this survey study. If you feel emotional, upset, or uncomfortable when answering some of the questions, you may choose not to answer. You may take a break or stop the survey at any point. While there are no immediate benefits to you from taking part in this research, others may benefit in the future from the information that is learned in this study.



 

Confidentiality:

We will work to make sure that on one sees your online responses without approval. But, because we are using the Internet, there is a chance that someone could access your online responses without permission. We will protect your privacy by labeling your anonymous survey with a code and study data will be stored on the password-protected Boston University Google Drive. While the results of this research study may be published, no identifiable information will be included in such manuscript.



Also, there may be circumstances where this information must be released. For example, personal information regarding your participation in this study may be disclosed if required by state law. Also, your records may be reviewed by the following groups:


	Office of Human Research Protections or other federal, state, or international regulatory agencies;
	Boston University Institutional Review Board. 






Incentives:

No incentives will be provided for participation.

 

Participant Rights:

Taking part in this study is your choice. You are free not to take part or withdraw at any time for any reason. No matter what you decide, there will be no penalty. If you decide to withdraw from this study, the information that you have already provided will be kept confidential. By agreeing to participate, you do not give up any personal legal rights you may have as a participant in this study. 



An institutional review board responsible for human subjects research at Boston University reviewed this research project and found it to be acceptable, according to applicable state and federal regulations and University policies designed to protect the rights and welfare of participants in research.



 

Concerns and Questions:

For questions, concerns, or complaints about the study, or you feel you have been harmed as a result of study participation, you may contact Jessica Ghai, M.Ed. BCBA, LABA jghai@bu.edu (doctoral student) &/or Dr. Donna Lehr dlehr@bu.edu (faculty advisor). 



For questions about your rights as a participant in this study or to discuss other study-related concerns or complaints with someone who is not part of the research team, you may contact the Boston University IRB directly at 617-358-6115.



 

Provided Consent

I have read (or someone has read to me) this page and I am aware that I am being asked to participate in a research study. I have had the opportunity to ask questions and have had them answered to my satisfaction. I voluntarily agree to participate in this study. I am not giving up any legal rights by agreeing to participate.



To print or save a copy of this page, select the print button on your web browser.



 

Please click the button below to proceed and participate in this study. If you do not wish to participate, please close out your browser window.",What BACB credential do you currently hold?,"While working as a BACB certificant, what proportion of your career caseload has focused on individuals between the ages of birth and 22 that have a diagnosis on the autism spectrum (e.g., ASD, autistic disorder, Asperger's disorder, PDD-NOS, etc.)?",What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,Please indicate the area of the country in which you primarily work by selecting the corresponding shaded region. - 1 - X,Please indicate the area of the country in which you primarily work by selecting the corresponding shaded region. - 1 - Y,Please indicate the area of the country in which you primarily work by selecting the corresponding shaded region. - Regions,"How long have you worked in the field as a BACB certificant? - How long have you been credentialed by the BACB? That is, how long have you been a RBT, BCaBA, BCBA, &/or BCBA-D combined?","How long have you worked in the field as a BACB certificant? - Have you at any point in the last 12 months provided, or supervised others that provided, direct ABA services in your role as a BACB certificant?",What is the primary setting in which you provide or have provided ABA services as a BACB certificant? (Select all that apply.) - Selected Choice,What is the primary setting in which you provide or have provided ABA services as a BACB certificant? (Select all that apply.) - Another general setting - Text,Do you currently or have you ever lived with animals?,"How many animals do you currently have? Note: These are animals for which you are the primary owner and could include animals that reside in your home or animals for which you are the owner but do not reside at your home (e.g., a horse boarded at an equestrian facility). Consider all fish as ""1 pet"" regardless of quantity.",What types of animals do you currently own or owned in the past? (Select all that apply.) - Selected Choice,What types of animals do you currently own or owned in the past? (Select all that apply.) - Another animal species - Text,"How often do you visit animal-oriented establishments* for enjoyment purposes?
*e.g., zoos, farms, aquariums, animal shelters, petting zoos, pet stores, equestrian centers, safari parks, nature preserves, science museums, museum of natural histories, wild animal rehabilitation centers, etc.","Do you currently or have you ever volunteered at an animal-oriented* establishment?
*e.g., zoo, farm, aquarium, animal shelter, petting zoo, equestrian center, safari park, nature preserve, science museum, museum of natural history, wild animal rehabilitation center, etc.","Are you currently or have you ever been a member of any organization focusing on animals, animal rights, environmental stewardship, and/or conservation?","Do you or have you ever provided monetary support to any organization(s) focusing on animal rights, environmental stewardship, and/or conservation?","Have you ever had exposure to, or participated in, therapeutic intervention program(s)* that included animals?
*e.g., therapeutic horseback riding, Read-to-dog programs, comfort animal meet-and-greets after a natural disaster, therapy animal hospital visitations, etc.",Are you personally familiar with anyone who has participated in a therapeutic intervention program(s) that included animal(s)?,"Have you, personally, ever considered incorporating an animal into ABA services?","Have you ever incorporated, or supervised others that have incorporated, an animal into ABA services?","With how many clients have you, or someone you were supervising, incorporated animals into ABA services?",The sessions in which animals were incorporated were for? (Select all that apply.),What type(s) of animal(s) have you incorporated? (Select all that apply.) - Selected Choice,What type(s) of animal(s) have you incorporated? (Select all that apply.) - Another animal type - Text,How have you incorporated animal(s) into ABA services? (Select all that apply.) - Selected Choice,"How have you incorporated animal(s) into ABA services? (Select all that apply.) - Animal was intentionally incorporated another way. Please briefly describe. To assure anonymity, please describe without providing information that would reveal your identity or the identity of others. - Text","Animal 1: Type



Please indicate animal type.","Animal 1: Origin



Please select the answer that most accurately describes where the animal came from. 
*ESA: emotional support animal

**therapy animal organization: an organization that registers human-animal teams that travels to sites

***site-based: e.g., a resident classroom guinea pig or a horse at a therapeutic riding center","Animal 1: Exposure



Please select the answer that most accurately describes the animal's exposure to the target population (e.g., young children with ASD) and intervention setting (e.g., a classroom) PRIOR to being incorporated into ABA services.","Animal 1: Training



What kind of training had the animal completed PRIOR to being incorporated into ABA services?

	Please provide a brief description of any training the animal completed BEFORE being included in ABA services. The types of training vary greatly, and can range from being a certified & registered therapy animal to only having received informal obedience training.
	Likewise, feel free to indicate if you are unsure of the animal's prior training (e.g., the animal was a resident classroom guinea pig) or if the animal had no prior training (as would be expected for some animal types).
	Being a behavior analyst, you may have trained the animal yourself. If so, briefly describe what methods/practices you followed.

To assure anonymity, please describe without providing information that would reveal your identity or the identity of others.",Would you like to provide information for a second animal you have incorporated into ABA services?,"Animal 2: Type



Please indicate animal type.","Animal 2: Origin



Please select the answer that most accurately describes where the animal came from. 
*ESA: emotional support animal

**therapy animal organization: an organization that registers human-animal teams that travels to sites

***site-based: e.g., a resident classroom guinea pig or a horse at a therapeutic riding center","Animal 2: Exposure



Please select the answer that most accurately describes the animal's exposure to the target population (e.g., young children with ASD) and intervention setting (e.g., a classroom) PRIOR to being incorporated into ABA services.","Animal 2: Training



What kind of training had the animal completed PRIOR to being incorporated into ABA services?

	Please provide a brief description of any training the animal completed BEFORE being included in ABA services. The types of training vary greatly, and can range from being a certified & registered therapy animal to only having received informal obedience training.
	Likewise, feel free to indicate if you are unsure of the animal's prior training (e.g., the animal was a resident classroom guinea pig) or if the animal had no prior training (as would be expected for some animal types).
	Being a behavior analyst, you may have trained the animal yourself. If so, briefly describe what methods/practices you followed.

To assure anonymity, please describe without providing information that would reveal your identity or the identity of others.",Would you like to provide information for a third animal you have incorporated into ABA services?,"Animal 3: Type



Please indicate animal type.","Animal 3: Origin



Please select the answer that most accurately describes where the animal came from. 
*ESA: emotional support animal

**therapy animal organization: an organization that registers human-animal teams that travels to sites

***site-based: e.g., a resident classroom guinea pig or a horse at a therapeutic riding center","Animal 3: Exposure



Please select the answer that most accurately describes the animal's exposure to the target population (e.g., young children with ASD) and intervention setting (e.g., a classroom) PRIOR to being incorporated into ABA services.","Animal 3: Training



What kind of training had the animal completed PRIOR to being incorporated into ABA services?

	Please provide a brief description of any training the animal completed BEFORE being included in ABA services. The types of training vary greatly, and can range from being a certified & registered therapy animal to only having received informal obedience training.
	Likewise, feel free to indicate if you are unsure of the animal's prior training (e.g., the animal was a resident classroom guinea pig) or if the animal had no prior training (as would be expected for some animal types).
	Being a behavior analyst, you may have trained the animal yourself. If so, briefly describe what methods/practices you followed.

To assure anonymity, please describe without providing infomation that would reveal your identity or the identity of others.",Would you like to provide information for a fourth animal you have incorporated into ABA services?,"Animal 4: Type



Please indicate animal type.","Animal 4: Origin



Please select the answer that most accurately describes where the animal came from. 
*ESA: emotional support animal

**therapy animal organization: an organization that registers human-animal teams that travels to sites

***site-based: e.g., a resident classroom guinea pig or a horse at a therapeutic riding center","Animal 4: Exposure



Please select the answer that most accurately describes the animal's exposure to the target population (e.g., young children with ASD) and intervention setting (e.g., a classroom) PRIOR to being incorporated into ABA services.","Animal 4: Training



What kind of training had the animal completed PRIOR to being incorporated into ABA services?

	Please provide a brief description of any training the animal completed BEFORE being included in ABA services. The types of training vary greatly, and can range from being a certified & registered therapy animal to only having received informal obedience training.
	Likewise, feel free to indicate if you are unsure of the animal's prior training (e.g., the animal was a resident classroom guinea pig) or if the animal had no prior training (as would be expected for some animal types).
	Being a behavior analyst, you may have trained the animal yourself. If so, briefly describe what methods/practices you followed.

To assure anonymity, please describe without providing information that would reveal your identity or the identity of others.",Would you like to provide information for a fifth (and final) animal you have incorporated into ABA services?,"Animal 5: Type



Please indicate animal type.","Animal 5: Origin



Please select the answer that most accurately describes where the animal came from. 
*ESA: emotional support animal

**therapy animal organization: an organization that registers human-animal teams that travels to sites

***site-based: e.g., a resident classroom guinea pig or a horse at a therapeutic riding center","Animal 5: Exposure



Please select the answer that most accurately describes the animal's exposure to the target population (e.g., young children with ASD) and intervention setting (e.g., a classroom) PRIOR to being incorporated into ABA services.","Animal 5: Training



What kind of training had the animal completed PRIOR to being incorporated into ABA services?

	Please provide a brief description of any training the animal completed BEFORE being included in ABA services. The types of training vary greatly, and can range from being a certified & registered therapy animal to only having received informal obedience training.
	Likewise, feel free to indicate if you are unsure of the animal's prior training (e.g., the animal was a resident classroom guinea pig) or if the animal had no prior training (as would be expected for some animal types).
	Being a behavior analyst, you may have trained the animal yourself. If so, briefly describe what methods/practices you followed.

To assure anonymity, please describe without providing information that would reveal your identity or the identity of others.","In your opinion, what effect(s) did the inclusion of animals in ABA services have on client(s) progress toward treatment goals overall?","Please provide an estimate of how often animal behavior, and more specifically species-specific stress behavior (e.g., tail tucking and panting in dogs), was systematically monitored and documented when you incorporated an animal into ABA services. - How often was animal behavior systematically monitored?","Please provide an estimate of how often animal behavior, and more specifically species-specific stress behavior (e.g., tail tucking and panting in dogs), was systematically monitored and documented when you incorporated an animal into ABA services. - How often was animal behavior systematically documented?",These questions are designed to collect information on your opinion related to the desirability and feasibility of including animals into ABA services by ABA clinicians. Please indicate the extent to which you agree or disagree with the following statements. - The incorporation of animals into ABA services is a desirable intervention option.,These questions are designed to collect information on your opinion related to the desirability and feasibility of including animals into ABA services by ABA clinicians. Please indicate the extent to which you agree or disagree with the following statements. - I am interested in incorporating animals into ABA services with my clients.,These questions are designed to collect information on your opinion related to the desirability and feasibility of including animals into ABA services by ABA clinicians. Please indicate the extent to which you agree or disagree with the following statements. - I think it would be possible to incorporate animals into ABA services.,"Has the inclusion of animals, therapy animals, or animal-assisted interventions into ABA services ever been suggested to you by a caregiver or another professional (e.g., teacher) associated with one of your ABA clients?","Presented below is a list of possible barriers that could impede the inclusion of animals in ABA services. Please rank the top three barriers you think would impede the inclusion of animals in ABA services, with 1 being the most difficult. If you do not think there are any barriers, please indicate accordingly. - I do not think there are any barriers","Presented below is a list of possible barriers that could impede the inclusion of animals in ABA services. Please rank the top three barriers you think would impede the inclusion of animals in ABA services, with 1 being the most difficult. If you do not think there are any barriers, please indicate accordingly. - A lack of personal experience with animals","Presented below is a list of possible barriers that could impede the inclusion of animals in ABA services. Please rank the top three barriers you think would impede the inclusion of animals in ABA services, with 1 being the most difficult. If you do not think there are any barriers, please indicate accordingly. - Availability/accessibility issues regarding animals","Presented below is a list of possible barriers that could impede the inclusion of animals in ABA services. Please rank the top three barriers you think would impede the inclusion of animals in ABA services, with 1 being the most difficult. If you do not think there are any barriers, please indicate accordingly. - ""Buy-in"" from client(s)/client caregiver(s)","Presented below is a list of possible barriers that could impede the inclusion of animals in ABA services. Please rank the top three barriers you think would impede the inclusion of animals in ABA services, with 1 being the most difficult. If you do not think there are any barriers, please indicate accordingly. - A lack of knowledge regarding animal-assisted interventions","Presented below is a list of possible barriers that could impede the inclusion of animals in ABA services. Please rank the top three barriers you think would impede the inclusion of animals in ABA services, with 1 being the most difficult. If you do not think there are any barriers, please indicate accordingly. - Fear of pushback from colleagues that believe animal-assisted interventions are a fad treatment or pseudoscience","Presented below is a list of possible barriers that could impede the inclusion of animals in ABA services. Please rank the top three barriers you think would impede the inclusion of animals in ABA services, with 1 being the most difficult. If you do not think there are any barriers, please indicate accordingly. - The time commitment required for resource finding, training, and implementation","Presented below is a list of possible barriers that could impede the inclusion of animals in ABA services. Please rank the top three barriers you think would impede the inclusion of animals in ABA services, with 1 being the most difficult. If you do not think there are any barriers, please indicate accordingly. - Other","Presented below is a list of possible barriers that could impede the inclusion of animals in ABA services. Please rank the top three barriers you think would impede the inclusion of animals in ABA services, with 1 being the most difficult. If you do not think there are any barriers, please indicate accordingly. - Other - Text","1. The terms ""animal-assisted interventions"", ""animal-assisted therapies"", and ""animal-assisted activities"" can be used interchangeably.","2. There is sufficient peer-reviewed, empirical research to warrant the use of animal-assisted interventions to support the development of social interaction and communication skills of children with autism spectrum disorder.",3. Service animals and therapy animals are afforded the same legal protections and status.,4. The monitoring of animal stress and wellbeing via systematic data collection and documentation is a standard of practice during all animal-assisted interventions.,"You will be asked to indicate the extent to which you agree or disagree with several statements below. Please respond to the statements based on the following client characteristics. Children and youth:

	between the ages of birth and 22; 
	have a diagnosis on the autism spectrum (e.g., ASD, autistic disorder, Asperger's disorder, PDD-NOS, etc.); and
	are not fearful of animals. - 1. I believe a majority of the target population outlined above would respond positively to therapeutic services (e.g., ABA services) that incorporate animals.","You will be asked to indicate the extent to which you agree or disagree with several statements below. Please respond to the statements based on the following client characteristics. Children and youth:

	between the ages of birth and 22; 
	have a diagnosis on the autism spectrum (e.g., ASD, autistic disorder, Asperger's disorder, PDD-NOS, etc.); and
	are not fearful of animals. - 2. I believe the presence of an animal can have a calming effect on many individuals within the target population outlined above.","You will be asked to indicate the extent to which you agree or disagree with several statements below. Please respond to the statements based on the following client characteristics. Children and youth:

	between the ages of birth and 22; 
	have a diagnosis on the autism spectrum (e.g., ASD, autistic disorder, Asperger's disorder, PDD-NOS, etc.); and
	are not fearful of animals. - 3. I believe the presence of an animal can increase the frequency of social interaction opportunities between individuals within the target population outlined above and other people.","You will be asked to indicate the extent to which you agree or disagree with several statements below. Please respond to the statements based on the following client characteristics. Children and youth:

	between the ages of birth and 22; 
	have a diagnosis on the autism spectrum (e.g., ASD, autistic disorder, Asperger's disorder, PDD-NOS, etc.); and
	are not fearful of animals. - 4. I believe animals can aid in effectively teaching social interaction and communication skills associated with ASD symptomatology for a majority of the target population outlined above."
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID10""}","{""ImportId"":""QID112""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_4_TEXT""}","{""ImportId"":""QID111"",""point"":1,""coord"":""x""}","{""ImportId"":""QID111"",""point"":1,""coord"":""y""}","{""ImportId"":""QID111_REGIONS""}","{""ImportId"":""QID144_1""}","{""ImportId"":""QID144_2""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_22_TEXT""}","{""ImportId"":""QID113""}","{""ImportId"":""QID22""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID24""}","{""ImportId"":""QID28""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID172""}","{""ImportId"":""QID173""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_22_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID38_4_TEXT""}","{""ImportId"":""QID146""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149_TEXT""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID152""}","{""ImportId"":""QID153""}","{""ImportId"":""QID154_TEXT""}","{""ImportId"":""QID155""}","{""ImportId"":""QID158""}","{""ImportId"":""QID159""}","{""ImportId"":""QID160""}","{""ImportId"":""QID161_TEXT""}","{""ImportId"":""QID156""}","{""ImportId"":""QID162""}","{""ImportId"":""QID163""}","{""ImportId"":""QID164""}","{""ImportId"":""QID165_TEXT""}","{""ImportId"":""QID157""}","{""ImportId"":""QID166""}","{""ImportId"":""QID167""}","{""ImportId"":""QID168""}","{""ImportId"":""QID169_TEXT""}","{""ImportId"":""QID65""}","{""ImportId"":""QID170_1""}","{""ImportId"":""QID170_2""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID104_2""}","{""ImportId"":""QID104_4""}","{""ImportId"":""QID141""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID115_2""}","{""ImportId"":""QID115_3""}","{""ImportId"":""QID115_4""}","{""ImportId"":""QID115_5""}","{""ImportId"":""QID115_6""}","{""ImportId"":""QID115_7""}","{""ImportId"":""QID115_8""}","{""ImportId"":""QID115_8_TEXT""}","{""ImportId"":""QID133""}","{""ImportId"":""QID136""}","{""ImportId"":""QID137""}","{""ImportId"":""QID140""}","{""ImportId"":""QID32_15""}","{""ImportId"":""QID32_23""}","{""ImportId"":""QID32_16""}","{""ImportId"":""QID32_18""}"
2019-08-06 10:12:58,2019-08-06 10:17:13,IP Address,70.112.137.181,100,255,True,2019-08-06 10:17:15,R_29cbbj3NQZBnpCH,,,,,30.3699951171875,-97.94370269775390625,anonymous,EN,I agree to participate in this survey study.,Registered Behavior Technician (RBT),50% or more,Female,,275,282,Southwest,2 to 5 years,Yes,"Client's home,Clinic",,Yes,1,"Dog,Cat,Fish,Rabbit,Turtle,Lizard,Chicken/Rooster,Goat,Another animal species",Geese,Sometimes,Seldom,Yes,Often,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Yes,8,7,3,6,2,5,4,1,Cost of having therapy animal,Not sure,Not sure,Not sure,Not sure,Neither Agree or Disagree,Agree,Agree,Agree
2019-08-06 10:11:18,2019-08-06 10:18:42,IP Address,162.129.251.219,100,443,True,2019-08-06 10:18:42,R_2ZBnJrCNBjvLZQO,,,,,39.289093017578125,-76.55829620361328125,anonymous,EN,I agree to participate in this survey study.,Board Certified Behavior Analyst- Doctoral (BCBA-D),50% or more,Male,,492,162,Southeast,2 to 5 years,No,"Client's home,School",,Yes,1,"Dog,Cat,Fish,Mouse,Rabbit,Turtle,Frog/Toad",,Sometimes,Never,Yes,Seldom,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Strongly Disagree,Agree,Yes,,,,,,,,1,Evidence that animal therapy is necessary for the most-effective treatment outcome.,False,False,False,Not sure,Neither Agree or Disagree,Agree,Neither Agree or Disagree,Neither Agree or Disagree
2019-08-06 10:11:01,2019-08-06 10:20:20,IP Address,98.255.16.239,100,558,True,2019-08-06 10:20:21,R_bsxUFAoSby1zYwV,,,,,38.4062957763671875,-121.4286956787109375,anonymous,EN,I agree to participate in this survey study.,Registered Behavior Technician (RBT),50% or more,Female,,66,166,West,2 to 5 years,Yes,"Client's home,School",,Yes,3-5,"Dog,Cat",,Sometimes,Never,No,Never,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,No,,7,5,2,1,3,4,,,False,Not sure,True,True,Agree,Agree,Agree,Agree
2019-08-06 10:13:21,2019-08-06 10:20:30,IP Address,107.206.172.34,100,428,True,2019-08-06 10:20:31,R_20SwrbqW1QvxIJT,,,,,37.7740936279296875,-120.83769989013671875,anonymous,EN,I agree to participate in this survey study.,Board Certified Behavior Analyst (BCBA),50% or more,Male,,71,176,West,> 15 years,Yes,"Client's home,School,Residential facility",,Yes,2,Dog,,Sometimes,Seldom,Yes,,Yes,Yes,Yes,Yes,More than 5,"Individual clients,Groups of clients",Dog,,Animal was an active participant during an activity/therapy session targeting specific skills. (Example: animal was a potential communication partner during a therapeutic session aiming to increase social & communication skills),,Dog,"Clinician's pet, service animal, ESA*, or therapy animal",Animal had prior exposure to target population(s) only,"my Lab ""plays catch"" with kids with ASD and will run out and get the retrieving bumper when cued.  Some kids like it.",No,,,,,,,,,,,,,,,,,,,,Not sure,25,25,Uncertain,,Agree,Yes,3,,1,2,,,,,,True,False,False,False,Disagree,Disagree,Agree,Neither Agree or Disagree
2019-08-06 10:15:47,2019-08-06 10:22:32,IP Address,107.77.209.40,100,405,True,2019-08-06 10:22:33,R_2rZom5qCN9z6KGm,,,,,41.8986053466796875,-87.73799896240234375,anonymous,EN,I agree to participate in this survey study.,Board Certified Behavior Analyst (BCBA),Less than 50%,Female,,354,157,Midwest,2 to 5 years,Yes,"Client's home,School,Residential facility,Another general setting","Community ",Yes,3-5,"Dog,Cat,Fish,Cattle,Goat",,Sometimes,Sometimes,Yes,Sometimes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,No,,,1,,,2,3,,,False,True,False,False,Neither Agree or Disagree,Strongly Agree,Strongly Agree,Strongly Agree
2019-08-06 10:15:24,2019-08-06 10:25:43,IP Address,186.73.2.163,100,618,True,2019-08-06 10:25:43,R_wZ6ZSivj5x6UNdT,,,,,8.9947967529296875,-79.52300262451171875,anonymous,EN,I agree to participate in this survey study.,Registered Behavior Technician (RBT),50% or more,Female,,479,336,Southeast,< 2 years,No,"Client's home,Clinic,School",,Yes,3-5,"Dog,Fish",,Seldom,Never,Yes,Never,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Uncertain,No,,,1,3,,,2,,,Not sure,Not sure,Not sure,Not sure,Agree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree
2019-08-06 10:20:49,2019-08-06 10:25:49,IP Address,107.12.131.157,100,299,True,2019-08-06 10:25:49,R_3nDjQysB6MLaW1P,,,,,34.7769927978515625,-77.37689971923828125,anonymous,EN,I agree to participate in this survey study.,Registered Behavior Technician (RBT),50% or more,Female,,488,204,Southeast,< 2 years,No,Clinic,,Yes,2,"Dog,Cat",,Seldom,Never,Yes,Seldom,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,No,,,2,,3,,1,,,False,Not sure,False,False,Strongly Agree,Strongly Agree,Agree,Agree
2019-08-06 10:17:18,2019-08-06 10:26:11,IP Address,73.226.49.228,100,532,True,2019-08-06 10:26:11,R_1FFYEUX3Q5i0P9f,,,,,40.21539306640625,-74.74669647216796875,anonymous,EN,I agree to participate in this survey study.,Board Certified Behavior Analyst- Doctoral (BCBA-D),Less than 50%,Male,,505,106,Northeast,6 to 10 years,Yes,"Client's home,Clinic,School,Residential facility",,Yes,1,"Dog,Cat",,Sometimes,Seldom,Yes,Seldom,Yes,Unsure,Yes,Yes,Between 2 and 5,Individual clients,"Dog,Bird (e.g., parakeet)",,"Animal was an active participant during an activity/therapy session targeting specific skills. (Example: animal was a potential communication partner during a therapeutic session aiming to increase social & communication skills),Animal was a reinforcer. (Example: animal interaction could have been chosen from a menu of reinforcers as part of a token economy; interaction with the animal was contingent upon demonstration of specific behaviors)",,Dog,"Clinician's pet, service animal, ESA*, or therapy animal",Unsure of prior exposure,,No,,,,,,,,,,,,,,,,,,,,Both negative and positive effects,,100,Uncertain,,Agree,No,1,,,,,,,,,False,False,False,Not sure,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree
